Id,Probability
1,0.075564146
2,0.043701566
3,0.015924149
4,0.066047528
5,0.105655495
6,0.024584207
7,0.032640617
8,0.026191414
9,0.00635073
10,0.364050138
11,0.009569554
12,0.017666765
13,0.010921149
14,0.052427994
15,0.054410203
16,0.014683012
17,0.027345501
18,0.013608547
19,0.214373406
20,0.061624283
21,0.010129806
22,0.012709771
23,0.006406731
24,0.556384511
25,0.069500007
26,0.022019047
27,0.074763687
28,0.010947375
29,0.05196731
30,0.025471505
31,0.068927014
32,0.010408177
33,0.014365607
34,0.059148999
35,0.380101612
36,0.049419668
37,0.029781299
38,0.021289224
39,0.009653321
40,0.047619093
41,0.404379321
42,0.290826695
43,0.085765961
44,0.007479695
45,0.04464049
46,0.006539525
47,0.006539525
48,0.015096129
49,0.018721369
50,0.031212989
51,0.016262975
52,0.01476073
53,0.008812769
54,0.064106274
55,0.015959803
56,0.069950449
57,0.008121389
58,0.124468042
59,0.078509436
60,0.080617478
61,0.021101598
62,0.009045389
63,0.016542879
64,0.01100695
65,0.016023253
66,0.020661652
67,0.012018873
68,0.12244017
69,0.007719351
70,0.732887894
71,0.020757172
72,0.110712868
73,0.007966948
74,0.184034876
75,0.014916484
76,0.031104911
77,0.084348339
78,0.035497555
79,0.022204579
80,0.015477401
81,0.013336875
82,0.01322135
83,0.021288914
84,0.009403142
85,0.016875617
86,0.013159191
87,0.044482933
88,0.010885176
89,0.026943777
90,0.019430998
91,0.050873212
92,0.013544882
93,0.009258848
94,0.015212352
95,0.006301517
96,0.152381454
97,0.032066079
98,0.075750458
99,0.010910584
100,0.012656694
101,0.060897531
102,0.061355156
103,0.008859276
104,0.053568238
105,0.057962827
106,0.023263364
107,0.350735747
108,0.011902341
109,0.008577231
110,0.015762742
111,0.032551509
112,0.024371321
113,0.024203067
114,0.425619966
115,0.098832382
116,0.01000486
117,0.005911706
118,0.085802259
119,0.011327234
120,0.009761385
121,0.010678133
122,0.047815558
123,0.01291769
124,0.390472466
125,0.011729167
126,0.013932976
127,0.00690282
128,0.013433386
129,0.008408153
130,0.056970809
131,0.027624329
132,0.075382302
133,0.007661267
134,0.057576945
135,0.109886128
136,0.009380413
137,0.186591982
138,0.033997922
139,0.008323866
140,0.012903717
141,0.006537113
142,0.015270214
143,0.006539525
144,0.0137677
145,0.407121122
146,0.012178836
147,0.006856312
148,0.094845726
149,0.008749735
150,0.046240628
151,0.007138449
152,0.010996456
153,0.008978058
154,0.016305307
155,0.017205585
156,0.018593056
157,0.049158864
158,0.007114479
159,0.101690643
160,0.018845409
161,0.006599179
162,0.01330975
163,0.016429701
164,0.064575614
165,0.010376955
166,0.01990329
167,0.544294697
168,0.022276503
169,0.20392343
170,0.010001105
171,0.006537113
172,0.017687566
173,0.01448346
174,0.041804532
175,0.013703034
176,0.372223068
177,0.014400902
178,0.091992199
179,0.011072409
180,0.009736189
181,0.032539033
182,0.009841505
183,0.018998003
184,0.012330897
185,0.113056711
186,0.011873909
187,0.00971228
188,0.034866757
189,0.058164141
190,0.022234438
191,0.013498862
192,0.036853077
193,0.013578057
194,0.050705322
195,0.010177132
196,0.030683867
197,0.009974294
198,0.008984239
199,0.011178869
200,0.007788481
201,0.066413625
202,0.022162205
203,0.377467641
204,0.036048522
205,0.028445374
206,0.008869724
207,0.020008285
208,0.005982067
209,0.072475398
210,0.006537113
211,0.110553823
212,0.025702302
213,0.016022239
214,0.008414863
215,0.018455035
216,0.078466807
217,0.00922779
218,0.075527691
219,0.01500759
220,0.006848832
221,0.015401014
222,0.008514014
223,0.015389452
224,0.014007608
225,0.01019792
226,0.070194131
227,0.010226204
228,0.059522437
229,0.057165919
230,0.539754053
231,0.197727706
232,0.012065004
233,0.01181298
234,0.012874757
235,0.005897826
236,0.18175898
237,0.035195271
238,0.006537113
239,0.013167006
240,0.015397685
241,0.054604318
242,0.012174045
243,0.008064848
244,0.022851233
245,0.087309477
246,0.010008674
247,0.031317726
248,0.007714065
249,0.014246043
250,0.295903868
251,0.024253481
252,0.259774191
253,0.0073725
254,0.083428015
255,0.005445164
256,0.010668727
257,0.033336146
258,0.147606141
259,0.04444873
260,0.14278976
261,0.012329936
262,0.017806506
263,0.007403428
264,0.065464745
265,0.07870368
266,0.015582952
267,0.072373542
268,0.050536629
269,0.241355167
270,0.007954745
271,0.028658684
272,0.037672367
273,0.007971729
274,0.013527165
275,0.008139142
276,0.026271394
277,0.016610867
278,0.009118621
279,0.063332115
280,0.02997502
281,0.721557208
282,0.040722788
283,0.051284137
284,0.012176965
285,0.008667612
286,0.01060307
287,0.012766666
288,0.035215395
289,0.056269431
290,0.088355401
291,0.268654161
292,0.007205432
293,0.031786611
294,0.012100723
295,0.007323125
296,0.022081834
297,0.011177104
298,0.028489523
299,0.00681159
300,0.008465055
301,0.069671644
302,0.009761385
303,0.010983415
304,0.01017263
305,0.39654976
306,0.034129458
