Id,Probability
1,0.075137318
2,0.044592546
3,0.0174031
4,0.068438341
5,0.104523885
6,0.028146588
7,0.030104564
8,0.024821242
9,0.006074911
10,0.35111127
11,0.009940612
12,0.01772402
13,0.010798386
14,0.052764923
15,0.051573068
16,0.014255045
17,0.028976266
18,0.015047017
19,0.191940302
20,0.062739498
21,0.010445821
22,0.012509501
23,0.00633296
24,0.515046781
25,0.069046106
26,0.022342783
27,0.078208192
28,0.010826742
29,0.052647927
30,0.026347767
31,0.067105726
32,0.011009253
33,0.015626721
34,0.061170955
35,0.384965033
36,0.05079074
37,0.030880623
38,0.021419105
39,0.0100269
40,0.046436923
41,0.399620987
42,0.287237499
43,0.088023953
44,0.007641488
45,0.052258339
46,0.006530851
47,0.00655464
48,0.015010143
49,0.019674413
50,0.033315135
51,0.017594611
52,0.014801725
53,0.008969165
54,0.058142184
55,0.017237509
56,0.071413829
57,0.008238208
58,0.124937553
59,0.073347712
60,0.076787458
61,0.023079354
62,0.009139134
63,0.017085185
64,0.010640186
65,0.016449638
66,0.021051919
67,0.012641053
68,0.119951635
69,0.007854885
70,0.725681744
71,0.021224388
72,0.107424161
73,0.007448018
74,0.174637239
75,0.015191078
76,0.033371984
77,0.082350068
78,0.037003542
79,0.021501097
80,0.016044038
81,0.014741419
82,0.012945518
83,0.025174898
84,0.009916509
85,0.016146589
86,0.013944329
87,0.046832716
88,0.01160128
89,0.028460002
90,0.017634231
91,0.054561774
92,0.013662297
93,0.009442321
94,0.015932499
95,0.006215666
96,0.133314181
97,0.030572985
98,0.07447015
99,0.011651228
100,0.013530373
101,0.059535574
102,0.065071761
103,0.009098095
104,0.056665015
105,0.051551086
106,0.024336265
107,0.358522715
108,0.012025587
109,0.00854061
110,0.016016352
111,0.031097173
112,0.024818657
113,0.026462482
114,0.441929093
115,0.094869234
116,0.009699854
117,0.005790152
118,0.085040081
119,0.01217747
120,0.009841498
121,0.011582529
122,0.055403209
123,0.01214999
124,0.442859607
125,0.011406855
126,0.013470827
127,0.006817172
128,0.014111923
129,0.008522969
130,0.053154428
131,0.026358201
132,0.070724536
133,0.008085135
134,0.051883414
135,0.10385617
136,0.009561287
137,0.184017643
138,0.032957014
139,0.008360804
140,0.013593756
141,0.006441727
142,0.01635565
143,0.006753658
144,0.015474554
145,0.356826387
146,0.011966846
147,0.007055151
148,0.1038983
149,0.008981727
150,0.041597989
151,0.007460509
152,0.011467113
153,0.009285133
154,0.015303529
155,0.017327649
156,0.018219362
157,0.047561999
158,0.007090916
